CircFlow,FRate,FDensity,SMSpeed,BDepth,BSize,MVis,FPress,DPPress,CPress,FIn,FOut,MRFlow,ActiveGL,ATVolume,RoPen,WoBit,HLoad,WBoPress,BTBR,MPS1,MPS2,MPS3,AMTD,ATMPV,ATMYP,STP,WellDepth
0,0,0,0,0,0,0,6157.12,1730.271,0,0.9529395,0.9528908,4.87E-05,-0.08259559,199.0002,20.44352,39773.86,310828.4,7001.946,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9631554,-0.9804431,78.54707,-0.005669403,12641.46,12.25,10.00045,6157.122,1729.887,0,0.9531223,0.9804431,-0.02732082,-0.0819369,199.0008,20.40985,39722.29,310839.9,6957.02,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9635707,-0.9822537,78.54707,-0.0056695,12641.46,12.25,10.00045,6157.122,1729.808,0,0.953133,0.9822537,-0.02912067,-0.08180205,199.001,20.4102,39726,310833.7,6957.143,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9642495,-0.985531,78.54707,-0.005669755,12641.46,12.25,10.00045,6157.122,1729.638,0,0.9531508,0.985531,-0.03238024,-0.08150204,199.0013,20.41112,39733.5,310821.8,6957.366,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9645238,-0.987007,78.54707,-0.005669904,12641.46,12.25,10.00045,6157.122,1729.547,0,0.9531581,0.987007,-0.03384894,-0.08133811,199.0014,20.41166,39737.29,310816,6957.467,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.964761,-0.9883805,78.54707,-0.005670064,12641.46,12.25,10.00045,6157.122,1729.453,0,0.9531644,0.9883805,-0.03521607,-0.08116567,199.0016,20.41223,39741.11,310810.3,6957.56,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9649654,-0.9896559,78.54707,-0.00567023,12641.46,12.25,10.00045,6157.122,1729.356,0,0.9531699,0.9896559,-0.03648593,-0.08098529,199.0018,20.41283,39744.95,310804.8,6957.647,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9651405,-0.9908374,78.54707,-0.005670401,12641.46,12.25,10.00045,6157.122,1729.257,0,0.9531747,0.9908374,-0.03766277,-0.08079752,199.002,20.41344,39748.81,310799.3,6957.728,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9652897,-0.9919295,78.54707,-0.005670574,12641.46,12.25,10.00045,6157.122,1729.155,0,0.9531788,0.9919295,-0.03875079,-0.08060288,199.0022,20.41407,39752.7,310794,6957.802,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9655219,-0.9938621,78.54707,0,12641.46,12.25,10.00045,6157.122,1728.947,0,0.9531853,0.9938621,-0.04067684,-0.08019496,199.0026,20.41529,39752.26,310787.7,6957.933,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9656101,-0.9947107,78.54707,0,12641.46,12.25,10.00045,6157.122,1728.841,0,0.9531878,0.9947107,-0.0415229,-0.07998261,199.0028,20.41585,39752.07,310786.8,6957.991,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.96586,-0.9962739,78.54707,0,12641.46,12.25,10.00045,6157.122,1728.627,0,0.9533028,0.9962739,-0.04297107,-0.07961798,199.0032,20.41688,39751.6,310784.3,6958.137,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9657305,-0.9976941,78.54707,0,12641.46,12.25,10.00045,6157.122,1728.535,0,0.9531215,0.9976941,-0.04457257,-0.07939099,199.0034,20.4173,39751.46,310783.8,6958.177,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9658607,-0.9985374,78.54707,0,12641.46,12.25,10.00045,6157.122,1728.328,0,0.953194,0.9985374,-0.04534341,-0.0789234,199.0039,20.41809,39751.24,310782.8,6958.245,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9658791,-0.9989332,78.54707,0,12641.46,12.25,10.00045,6157.122,1728.22,0,0.953196,0.9989332,-0.04573715,-0.0786843,199.0041,20.41843,39751.15,310782.3,6958.273,12641.46,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.46
0.9658892,-0.9992946,78.54707,0,12641.47,12.25,10.00045,6157.125,1728.11,0,0.9531966,0.9992946,-0.04609794,-0.07844234,199.0043,20.41875,39628.05,310781.9,6958.299,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9659056,-0.9998432,78.54707,-0.005671462,12641.47,12.25,10.00045,6157.125,1727.888,0,0.9531973,0.9998432,-0.04664589,-0.07795138,199.0048,20.41726,39631.91,310904.2,6958.343,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.965908,-1.000147,78.54707,-0.005671283,12641.47,12.25,10.00045,6157.125,1727.777,0,0.9531975,1.000147,-0.04694945,-0.07770296,199.0051,20.41662,39636,310899.7,6958.359,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9659058,-1.000353,78.54707,-0.005671131,12641.47,12.25,10.00045,6157.125,1727.666,0,0.9531977,1.000353,-0.04715532,-0.07745291,199.0053,20.41607,39640.1,310895.3,6958.373,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
0.9658887,-1.000663,78.54707,-0.005670901,12641.47,12.25,10.00045,6157.125,1727.442,0,0.9531977,1.000663,-0.04746544,-0.07694883,199.0058,20.41525,39648.32,310886.7,6958.394,12641.47,99.04626,99.04626,59.66036,78.54546,10.00008,20.00007,13798.08,12641.47
